,width,width,width,width,width,width,width,width,length,length,length,length,length,length,length,length,l_w_index,l_w_index,l_w_index,l_w_index,l_w_index,l_w_index,l_w_index,l_w_index,area,area,area,area,area,area,area,area,percent_area,percent_area,percent_area,percent_area,percent_area,percent_area,percent_area,percent_area,contour_length,contour_length,contour_length,contour_length,contour_length,contour_length,contour_length,contour_length,area_contour_ratio,area_contour_ratio,area_contour_ratio,area_contour_ratio,area_contour_ratio,area_contour_ratio,area_contour_ratio,area_contour_ratio,position_longest_extend,position_longest_extend,position_longest_extend,position_longest_extend,position_longest_extend,position_longest_extend,position_longest_extend,position_longest_extend,position_widest_extend,position_widest_extend,position_widest_extend,position_widest_extend,position_widest_extend,position_widest_extend,position_widest_extend,position_widest_extend,length_lower_part,length_lower_part,length_lower_part,length_lower_part,length_lower_part,length_lower_part,length_lower_part,length_lower_part,relative_length_lower_part,relative_length_lower_part,relative_length_lower_part,relative_length_lower_part,relative_length_lower_part,relative_length_lower_part,relative_length_lower_part,relative_length_lower_part,length_upper_part,length_upper_part,length_upper_part,length_upper_part,length_upper_part,length_upper_part,length_upper_part,length_upper_part,relative_length_upper_part,relative_length_upper_part,relative_length_upper_part,relative_length_upper_part,relative_length_upper_part,relative_length_upper_part,relative_length_upper_part,relative_length_upper_part,upper_to_lower_ratio,upper_to_lower_ratio,upper_to_lower_ratio,upper_to_lower_ratio,upper_to_lower_ratio,upper_to_lower_ratio,upper_to_lower_ratio,upper_to_lower_ratio,width_left_part,width_left_part,width_left_part,width_left_part,width_left_part,width_left_part,width_left_part,width_left_part,relative_width_left_part,relative_width_left_part,relative_width_left_part,relative_width_left_part,relative_width_left_part,relative_width_left_part,relative_width_left_part,relative_width_left_part,width_right_part,width_right_part,width_right_part,width_right_part,width_right_part,width_right_part,width_right_part,width_right_part,relative_width_right_part,relative_width_right_part,relative_width_right_part,relative_width_right_part,relative_width_right_part,relative_width_right_part,relative_width_right_part,relative_width_right_part,left_to_right_ratio,left_to_right_ratio,left_to_right_ratio,left_to_right_ratio,left_to_right_ratio,left_to_right_ratio,left_to_right_ratio,left_to_right_ratio,tip_angle,tip_angle,tip_angle,tip_angle,tip_angle,tip_angle,tip_angle,tip_angle,MP_CM_x_offset,MP_CM_x_offset,MP_CM_x_offset,MP_CM_x_offset,MP_CM_x_offset,MP_CM_x_offset,MP_CM_x_offset,MP_CM_x_offset,MP_CM_y_offset,MP_CM_y_offset,MP_CM_y_offset,MP_CM_y_offset,MP_CM_y_offset,MP_CM_y_offset,MP_CM_y_offset,MP_CM_y_offset,FD,FD,FD,FD,FD,FD,FD,FD
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
ka_cal_BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,8.0,8.25,5.391792704790177,4.0,4.0,5.0,13.5,16.0,8.0,36.75,12.186057606953941,21.0,30.25,33.5,41.25,58.0,8.0,5.4125,1.905209024902892,2.9,3.55,5.800000000000001,7.0,7.8,8.0,276.625,242.84912276673234,68.0,106.5,141.5,429.0,692.0,8.0,66.5,4.9856938190329,57.0,65.0,67.5,69.25,73.0,8.0,86.75,29.778947501308945,50.0,70.25,76.5,100.75,139.0,8.0,274.0,156.679837338987,136.0,157.75,184.5,421.75,497.0,8.0,3.75,0.8864052604279183,3.0,3.0,3.5,4.25,5.0,8.0,2.25,0.4629100498862757,2.0,2.0,2.0,2.25,3.0,8.0,13.5,7.884161337770808,7.6,8.45,10.25,14.975000000000001,26.2,8.0,34.75,9.996427933445599,22.0,27.0,35.5,39.0,51.0,8.0,23.775,5.792544469278716,14.1,20.8,24.6,26.275,32.2,8.0,66.0,9.856107606091623,49.0,62.5,67.0,72.5,77.0,8.0,2.075,0.8581541653039805,1.0,1.575,1.85,2.65,3.4,8.0,5.35,1.8439088914585775,2.6,4.3500000000000005,4.65,7.4,7.5,8.0,77.25,26.299103732691293,46.0,55.25,76.0,96.5,115.0,8.0,3.45,3.620576118323081,0.2,0.825,1.55,6.1499999999999995,9.4,8.0,32.875,20.29382383175447,5.0,16.75,32.0,51.25,58.0,8.0,5.25,6.929027967285784,0.8,1.225,2.6999999999999997,5.75,21.5,8.0,40.375,14.21204217757402,25.0,29.5,34.5,54.75,60.0,8.0,0.0875,0.24164614034338958,-0.2,-0.05,0.05,0.225,0.5,8.0,-1.0875,0.4421942042651784,-1.8,-1.375,-0.95,-0.825,-0.6,8.0,1.93642373375647,0.0490549313239968,1.8496258347993,1.921073203910995,1.9294945632579799,1.9631672417533301,2.01876009310946
29.1,8.0,8.625,3.2486260832190936,2.0,7.5,10.0,11.0,11.0,8.0,37.75,11.853269591129697,16.0,30.0,40.5,45.5,53.0,8.0,4.9125,1.937920461289811,2.7,3.8,4.199999999999999,5.55,8.0,8.0,276.25,140.1588384655067,32.0,220.25,251.5,382.75,483.0,8.0,67.25,4.891683905218266,58.0,66.25,67.5,69.25,75.0,8.0,89.375,27.871836784006284,36.0,74.5,96.0,105.0,127.0,8.0,286.875,98.23650398037236,88.0,251.0,303.5,365.5,380.0,8.0,3.125,0.6408699444616557,2.0,3.0,3.0,3.25,4.0,8.0,2.875,0.8345229603962802,2.0,2.0,3.0,3.25,4.0,8.0,17.6,7.62833065430626,6.9,14.025,15.25,20.7,30.1,8.0,46.625,15.692923792042613,27.0,37.75,43.0,52.5,71.0,8.0,20.512500000000003,10.71173422000378,9.1,11.975,16.75,29.099999999999998,39.0,8.0,53.0,16.01784718903975,28.0,47.25,57.0,62.0,73.0,8.0,1.3250000000000002,0.7363035088486657,0.4,0.925,1.3,1.675,2.6,8.0,4.75,1.7062908812475588,1.6,3.6750000000000003,5.05,6.1,6.8,8.0,58.25,14.810710410278869,34.0,52.5,58.0,64.75,79.0,8.0,4.35,2.1320680771763096,1.4,2.6,4.6,5.425,7.7,8.0,50.875,14.146554350795109,28.0,43.75,49.5,59.75,70.0,8.0,1.2875,0.6490377492873586,0.5,1.0250000000000001,1.2,1.35,2.7,8.0,50.125,16.591198182857596,28.0,36.5,53.5,59.25,77.0,8.0,0.0875,0.24748737341529162,-0.2,-0.1,0.04999999999999999,0.225,0.5,8.0,-1.0375,0.8314144574157946,-2.5,-1.525,-1.05,-0.3,0.0,8.0,1.9425464020189298,0.02585251514573259,1.90870808772812,1.9276895881727125,1.94128078362915,1.9542793236422724,1.98271650559952
29.5,100.0,5.08,1.9523619469035889,3.0,4.0,5.0,6.0,14.0,100.0,27.39,7.859749141394816,17.0,22.0,25.5,32.0,57.0,100.0,5.724,1.5857394795393398,2.8,4.65,5.6,6.725,11.7,100.0,121.42,75.01490491626288,40.0,79.0,105.0,143.5,543.0,100.0,69.84,4.990334091364461,56.0,66.75,70.0,73.0,83.0,100.0,63.54,17.68890538550574,39.0,51.0,60.0,74.25,134.0,100.0,179.75,52.592847191966854,102.0,147.75,175.0,202.25,405.0,100.0,3.3,0.9587449708822046,1.0,3.0,3.0,4.0,5.0,100.0,2.76,0.4948216697442476,2.0,2.0,3.0,3.0,4.0,100.0,12.318000000000005,4.349373111684772,5.9,9.1,11.6,14.45,26.8,100.0,44.87,9.691874134677166,20.0,39.0,47.0,51.0,65.0,100.0,15.520999999999999,5.407631999164127,7.5,11.6,14.2,18.2,31.8,100.0,56.05,9.714484655462282,35.0,50.0,53.0,62.0,80.0,100.0,1.3789999999999998,0.6583258534289305,0.5,1.0,1.1,1.6,3.9,100.0,2.997,1.2623094915769475,0.9,2.1,2.8,4.0,6.1,100.0,60.9,22.160798949970424,14.0,45.75,65.0,79.25,105.0,100.0,2.593,1.7085793614413796,0.5,1.4,2.1,3.2,10.7,100.0,49.75,21.932115191373512,14.0,31.75,47.0,65.25,100.0,100.0,1.73,1.3272969418020868,0.2,0.6,1.4,2.5,6.0,100.0,46.82,10.447927637536157,20.0,40.75,47.0,53.25,70.0,100.0,-0.099,0.3109110106857856,-1.4,-0.2,0.0,0.1,0.7,100.0,-0.309,0.4627748978289617,-1.8,-0.5,-0.2,0.0,0.7,100.0,1.9386593985210074,0.04405953800026571,1.85246597560529,1.9078860998456126,1.936576398211,1.9681547893441227,2.04873832485443
29.6,4.0,4.75,2.0615528128088303,2.0,4.25,5.0,5.5,7.0,4.0,26.5,10.661457061146317,16.0,18.25,26.0,34.25,38.0,4.0,6.0249999999999995,2.0886598574205424,3.8,4.475,6.15,7.699999999999999,8.0,4.0,116.0,73.11178655547499,31.0,67.0,128.0,177.0,177.0,4.0,73.5,2.886751345948129,70.0,72.25,73.5,74.75,77.0,4.0,63.25,25.289984842489197,36.0,45.0,64.0,82.25,89.0,4.0,167.25,59.010592269523954,86.0,144.5,181.0,203.75,221.0,4.0,3.75,1.5,2.0,2.75,4.0,5.0,5.0,4.0,2.75,0.5,2.0,2.75,3.0,3.0,3.0,4.0,11.325,4.217720553411127,7.5,8.100000000000001,10.65,13.875,16.5,4.0,43.0,3.265986323710904,39.0,42.0,43.0,44.0,47.0,4.0,15.575,6.715839485872187,8.8,10.375,15.600000000000001,20.8,22.3,4.0,57.75,2.5,55.0,56.5,57.5,58.75,61.0,4.0,1.375,0.17078251276599335,1.2,1.275,1.35,1.45,1.6,4.0,3.85,2.2752289262108696,1.2,2.475,3.9000000000000004,5.275,6.4,4.0,75.75,21.328775554791388,57.0,57.75,74.0,92.0,98.0,4.0,1.5250000000000001,0.9912113800799505,0.8,0.8,1.2000000000000002,1.925,2.9,4.0,40.0,32.26969682741586,11.0,14.0,36.0,62.0,77.0,4.0,4.05,3.77756535350482,0.7,0.925,3.65,6.7749999999999995,8.2,4.0,44.75,2.217355782608345,43.0,43.75,44.0,45.0,48.0,4.0,0.049999999999999996,0.36968455021364727,-0.4,-0.1,0.05,0.2,0.5,4.0,-0.5,0.4546060565661952,-1.0,-0.7,-0.55,-0.35,0.1,4.0,1.8919230796607598,0.05007553281714216,1.84637220979832,1.8617134425410449,1.879998232292355,1.91020786941207,1.96132364426001
29.9,17.0,8.352941176470589,4.182421195769686,5.0,6.0,6.0,10.0,19.0,17.0,40.11764705882353,17.53882248378286,16.0,28.0,40.0,45.0,88.0,17.0,5.023529411764706,1.388132473759577,3.2,3.8,4.6,5.6,8.0,17.0,302.5882352941176,298.09584423963577,60.0,113.0,200.0,320.0,1120.0,17.0,71.94117647058823,6.959441323081312,60.0,65.0,73.0,79.0,80.0,17.0,92.52941176470588,40.63883248670356,41.0,65.0,89.0,106.0,206.0,17.0,277.05882352941177,131.92254857881352,146.0,196.0,228.0,296.0,617.0,17.0,3.235294117647059,0.5622957145383871,2.0,3.0,3.0,4.0,4.0,17.0,2.6470588235294117,0.6063390625908325,2.0,2.0,3.0,3.0,4.0,17.0,16.605882352941176,8.606572385990495,7.4,11.0,13.0,21.2,36.4,17.0,40.88235294117647,10.036697371030327,24.0,36.0,40.0,49.0,60.0,17.0,23.894117647058824,10.853885858773994,9.5,16.3,20.5,31.0,51.8,17.0,59.294117647058826,9.986019639240357,40.0,54.0,59.0,65.0,76.0,17.0,1.6058823529411765,0.6869048225876112,0.7,1.1,1.5,1.8,3.1,17.0,4.711764705882352,2.6310364765955776,2.1,2.9,3.9,5.8,11.8,17.0,54.88235294117647,8.731282501307987,34.0,48.0,56.0,62.0,66.0,17.0,4.076470588235294,1.8153957598016697,2.1,2.8,3.3,5.0,7.3,17.0,49.8235294117647,11.501278701288213,34.0,40.0,50.0,57.0,70.0,17.0,1.1882352941176473,0.4512238260292452,0.5,0.8,1.1,1.6,1.9,17.0,44.8235294117647,10.063767274967455,23.0,38.0,46.0,52.0,61.0,17.0,-0.07058823529411766,0.297415336445418,-0.8,-0.2,-0.1,0.1,0.5,17.0,-0.9588235294117645,1.1314033451478585,-2.9,-1.9,-0.4,0.0,0.2,17.0,1.9162041178418028,0.04856450643617201,1.86440995297806,1.87910623418576,1.90722118148275,1.92255222545583,2.02499200185174
30.0,17.0,6.470588235294118,1.9402850002906638,3.0,5.0,7.0,8.0,9.0,17.0,33.588235294117645,8.352086741717693,26.0,27.0,32.0,36.0,56.0,17.0,5.53529411764706,1.6416231207522127,3.2,4.3,5.3,6.8,8.7,17.0,190.94117647058823,88.72885000680112,85.0,123.0,174.0,224.0,386.0,17.0,75.17647058823529,4.419209404939518,68.0,72.0,75.0,77.0,83.0,17.0,79.52941176470588,20.177703186496547,60.0,64.0,75.0,85.0,132.0,17.0,230.11764705882354,55.496489025141464,134.0,181.0,246.0,276.0,304.0,17.0,3.411764705882353,0.6183469424008422,2.0,3.0,3.0,4.0,4.0,17.0,2.411764705882353,0.7952062255644573,1.0,2.0,2.0,3.0,4.0,17.0,13.83529411764706,8.418724753226478,7.5,9.1,11.6,15.4,42.5,17.0,39.8235294117647,15.183195044677054,15.0,30.0,37.0,48.0,75.0,17.0,20.335294117647056,7.294256402854799,12.2,15.5,18.9,20.9,43.1,17.0,60.94117647058823,15.27035767522856,25.0,55.0,63.0,72.0,86.0,17.0,1.9058823529411764,1.2407007033503759,0.3,1.1,1.7,2.4,5.7,17.0,3.9823529411764707,0.9773914863794645,1.9,3.5,4.0,4.9,5.3,17.0,63.588235294117645,13.982394392276898,47.0,55.0,60.0,66.0,94.0,17.0,3.0058823529411764,1.0928578294060567,1.1,2.5,3.0,3.6,4.8,17.0,45.76470588235294,10.365383566013765,32.0,40.0,44.0,51.0,73.0,17.0,1.5058823529411764,0.6269674914173123,0.7,1.0,1.4,1.6,2.8,17.0,48.94117647058823,13.997636355092661,29.0,38.0,46.0,57.0,74.0,17.0,0.13529411764705884,0.14975470138942312,-0.1,0.1,0.1,0.2,0.5,17.0,-0.6941176470588235,0.7988042534276577,-2.9,-0.9,-0.5,-0.1,0.1,17.0,1.9260254604327964,0.03950857513922293,1.86784566328232,1.89581574308865,1.91639223668804,1.94121712012514,1.99928958796774
30.4,21.0,10.19047619047619,4.377431297222694,4.0,7.0,10.0,13.0,22.0,21.0,49.095238095238095,21.5636378236715,20.0,35.0,43.0,60.0,94.0,21.0,4.99047619047619,1.4017506061724252,3.2,4.1,4.8,5.8,9.0,21.0,462.3809523809524,371.9133603664268,75.0,178.0,412.0,649.0,1672.0,21.0,72.19047619047619,3.816006389133116,64.0,70.0,71.0,73.0,83.0,21.0,114.04761904761905,48.215636665376714,45.0,84.0,105.0,139.0,216.0,21.0,352.4761904761905,147.68873316797698,146.0,250.0,338.0,442.0,774.0,21.0,3.0476190476190474,0.8047478161629565,2.0,3.0,3.0,3.0,5.0,21.0,2.380952380952381,0.4976133515281192,2.0,2.0,2.0,3.0,3.0,21.0,18.038095238095238,8.804230584808431,5.0,11.5,15.9,23.7,34.1,21.0,36.0,8.378544026261364,25.0,28.0,36.0,43.0,52.0,21.0,31.490476190476198,14.396801893542358,11.3,24.6,27.6,35.0,65.2,21.0,63.904761904761905,8.578489155467658,48.0,57.0,64.0,72.0,75.0,21.0,1.904761904761905,0.6711752308273827,0.9,1.3,1.8,2.6,3.0,21.0,5.2666666666666675,2.5917818838269038,1.7,3.0,5.6,6.7,11.7,21.0,52.23809523809524,19.03655631122594,20.0,46.0,53.0,57.0,103.0,21.0,5.49047619047619,2.6040170433207157,0.7,3.7,6.3,7.0,11.3,21.0,53.23809523809524,17.49258346244134,14.0,48.0,53.0,60.0,89.0,21.0,1.4333333333333333,1.7266537966058317,0.3,0.8,1.0,1.1,7.0,21.0,42.095238095238095,7.395300953340316,24.0,36.0,44.0,47.0,55.0,21.0,-0.14761904761904762,0.2713283022816595,-0.7,-0.4,-0.2,0.0,0.2,21.0,-1.9285714285714288,1.0977899877220858,-3.7,-2.7,-2.0,-1.1,-0.2,21.0,1.9353860550620288,0.04342492414190128,1.87650461784339,1.89821056069564,1.93089970786639,1.97162419515908,2.00623555902839
30.5,5.0,7.0,1.224744871391589,6.0,6.0,7.0,7.0,9.0,5.0,45.0,15.47578754054216,29.0,36.0,37.0,59.0,64.0,5.0,6.32,1.4481022063376605,4.8,5.3,6.0,7.1,8.4,5.0,262.6,120.7178528636092,151.0,180.0,198.0,366.0,418.0,5.0,70.4,7.569676347110224,64.0,65.0,70.0,70.0,83.0,5.0,102.2,34.361315457939035,67.0,82.0,85.0,130.0,147.0,5.0,248.2,31.66543857267731,219.0,225.0,232.0,281.0,284.0,5.0,2.8,1.0954451150103321,2.0,2.0,2.0,4.0,4.0,5.0,2.2,1.0954451150103321,1.0,2.0,2.0,2.0,4.0,5.0,18.1,13.093509842666327,3.8,12.7,14.2,21.0,38.8,5.0,36.2,16.66433316997713,13.0,35.0,35.0,38.0,60.0,5.0,27.32,6.268333111761052,23.5,23.7,25.3,25.7,38.4,5.0,64.0,16.64331697709324,40.0,63.0,65.0,65.0,87.0,5.0,2.52,2.3295922389980612,0.7,1.6,1.8,1.9,6.6,5.0,3.4,2.117781858454737,1.4,1.6,3.1,4.4,6.5,5.0,48.6,32.207142065076184,19.0,26.0,33.0,72.0,93.0,5.0,4.16,2.069541011915444,1.5,2.4,5.1,5.8,6.0,5.0,58.6,27.978563222581673,20.0,40.0,66.0,83.0,84.0,5.0,1.46,1.817415747703315,0.2,0.3,0.5,1.8,4.5,5.0,38.0,4.242640687119285,32.0,37.0,37.0,41.0,43.0,5.0,0.019999999999999997,0.2588435821108957,-0.2,-0.2,-0.1,0.3,0.3,5.0,-0.58,0.8197560612767678,-1.9,-0.6,-0.6,0.0,0.2,5.0,1.9404441347623842,0.0376633405360865,1.91681248820257,1.92046564471496,1.9268843188644,1.93096046410094,2.00709775792905
30.7,57.0,5.543859649122807,1.0533988431771786,4.0,5.0,5.0,6.0,8.0,57.0,21.70175438596491,5.411511910074874,15.0,18.0,20.0,25.0,42.0,57.0,3.9368421052631586,0.7376680387127709,2.9,3.4,3.8,4.1,7.0,57.0,99.57894736842105,40.07401516855185,55.0,73.0,86.0,117.0,219.0,57.0,69.2280701754386,4.127510248579684,60.0,66.0,70.0,72.0,83.0,57.0,52.75438596491228,12.453170424999621,37.0,44.0,49.0,60.0,102.0,57.0,182.73684210526315,32.1744831880957,139.0,158.0,171.0,205.0,271.0,57.0,3.43859649122807,1.535502987154013,1.0,2.0,4.0,5.0,5.0,57.0,2.8947368421052633,0.7241795980456531,2.0,2.0,3.0,3.0,4.0,57.0,10.805263157894736,4.1735314377220325,4.7,7.5,10.3,12.4,25.4,57.0,48.98245614035088,12.367138524663682,27.0,38.0,52.0,55.0,72.0,57.0,11.380701754385965,3.449039131021609,5.6,8.7,11.3,13.1,19.8,57.0,52.45614035087719,12.419843246420793,27.0,46.0,50.0,64.0,75.0,57.0,1.2105263157894737,0.6025790435780177,0.4,0.8,0.9,1.6,2.7,57.0,3.46140350877193,1.9857307386491352,0.0,1.3,4.3,4.8,7.3,57.0,63.473684210526315,36.34463276505994,0.0,25.0,78.0,94.0,115.0,57.0,2.54561403508772,2.2019528812461155,0.0,0.7,1.5,4.4,7.9,57.0,44.40350877192982,36.76171322037702,0.0,13.0,28.0,84.0,112.0,57.0,7.605263157894737,22.31509275494176,0.0,0.3,2.8,6.9,160.0,57.0,59.0,15.130385699927528,39.0,49.0,56.0,63.0,113.0,57.0,0.06140350877192982,0.4078490555712074,-0.8,-0.3,0.2,0.4,0.7,57.0,-0.1385964912280702,0.5171192132398046,-1.0,-0.5,-0.2,0.2,1.4,57.0,1.9466627001906225,0.04493025562539362,1.86503166754,1.90926200307222,1.93701735219603,1.97994581331827,2.04550766011183
30.9,15.0,10.133333333333333,3.563037762252611,6.0,7.5,9.0,11.5,19.0,15.0,43.733333333333334,12.623485293387915,27.0,35.5,41.0,45.0,76.0,15.0,4.4799999999999995,0.8937880861015897,3.1,3.85,4.5,5.0,6.0,15.0,355.46666666666664,236.71497830171404,114.0,227.0,286.0,311.0,1030.0,15.0,68.53333333333333,3.9797104465143236,60.0,66.5,69.0,71.0,76.0,15.0,102.46666666666667,29.6452035789619,62.0,84.5,95.0,105.0,176.0,15.0,320.93333333333334,103.67357196416802,183.0,270.0,300.0,320.0,585.0,15.0,3.2666666666666666,0.5936168397046636,3.0,3.0,3.0,3.0,5.0,15.0,2.2666666666666666,0.5936168397046636,1.0,2.0,2.0,3.0,3.0,15.0,17.56666666666667,6.851451010726192,6.4,12.45,16.5,22.450000000000003,30.8,15.0,39.266666666666666,10.713587278822738,18.0,33.0,39.0,48.0,59.0,15.0,26.65333333333333,8.82479191714753,15.4,21.75,25.2,29.65,51.8,15.0,60.8,10.618043941463847,41.0,52.0,62.0,67.0,81.0,15.0,1.7599999999999996,0.9014274394378222,0.7,1.1,1.6,2.0,4.4,15.0,5.88,2.063699867436431,3.1,4.8,5.6,6.45,11.0,15.0,58.4,13.168143377105217,44.0,52.0,55.0,59.0,97.0,15.0,4.666666666666668,1.847649729740332,0.2,4.0,4.5,5.449999999999999,8.1,15.0,45.266666666666666,13.781284755922053,4.0,42.0,45.0,54.0,62.0,15.0,2.693333333333333,5.768939821723456,0.7,1.0,1.2,1.4,23.5,15.0,43.6,6.412042242085255,32.0,39.0,44.0,48.0,54.0,15.0,0.03333333333333333,0.3086066999241838,-0.5,-0.15000000000000002,0.0,0.15000000000000002,0.6,15.0,-1.2266666666666666,0.6933012813104176,-3.2,-1.35,-1.0,-0.8,-0.6,15.0,1.930702911943493,0.03674655236885264,1.86390866623046,1.90911640774222,1.92111104127584,1.9624389545395,1.98638633013257
31.5,15.0,3.8,0.7745966692414835,3.0,3.0,4.0,4.0,5.0,15.0,22.2,5.387816944604877,14.0,17.0,24.0,26.0,30.0,15.0,5.906666666666667,1.2168264735231011,3.8,5.1,5.8,6.75,8.0,15.0,76.26666666666667,26.660475471771925,38.0,54.5,66.0,102.0,113.0,15.0,73.33333333333333,4.029651999626673,68.0,70.0,73.0,76.0,80.0,15.0,51.333333333333336,11.437199124327766,33.0,41.0,54.0,60.0,66.0,15.0,144.93333333333334,23.917915182278467,104.0,127.5,147.0,159.5,188.0,15.0,3.7333333333333334,0.8837151016885368,2.0,3.0,4.0,4.0,5.0,15.0,3.0,0.5345224838248488,2.0,3.0,3.0,3.0,4.0,15.0,11.106666666666666,3.480448794268321,6.6,8.1,11.3,12.65,17.0,15.0,49.333333333333336,8.616153157766824,35.0,44.0,47.0,57.0,62.0,15.0,11.659999999999998,3.1151243955900063,7.4,9.15,11.7,13.8,18.6,15.0,52.4,8.235810307952184,40.0,45.0,55.0,58.0,66.0,15.0,1.1266666666666667,0.3534860406754147,0.7,0.8,1.2,1.3,1.9,15.0,2.966666666666666,1.216943869269401,1.4,2.1,2.9,3.8,5.0,15.0,75.86666666666666,21.892159936074528,34.0,61.0,77.0,94.0,100.0,15.0,1.2933333333333332,0.8276184996436347,0.2,0.6,1.1,1.85,2.8,15.0,35.86666666666667,24.20999400090404,3.0,17.0,28.0,61.5,68.0,15.0,5.453333333333334,7.590959535306895,0.5,1.05,2.8,5.35,29.0,15.0,47.4,9.515401050027117,31.0,41.5,49.0,54.0,62.0,15.0,0.08666666666666666,0.21668498091095506,-0.3,-0.05,0.1,0.3,0.4,15.0,-0.34,0.2971291205616075,-0.9,-0.6,-0.3,-0.1,0.0,15.0,1.9322842304176433,0.04292861891972152,1.8654374827665,1.896557469659625,1.9393424927054,1.9653167804325449,2.00537940694244
